Training: 2021-04-24 22:03:54,921-rank_id: 0
Training: 2021-04-24 23:24:22,732-Speed 761.60 samples/sec   Loss 9.8004   Epoch: 0   Global Step: 6550   Required: 57 hours
Training: 2021-04-24 23:24:56,366-Speed 761.14 samples/sec   Loss 9.9712   Epoch: 0   Global Step: 6600   Required: 57 hours
Training: 2021-04-24 23:25:29,980-Speed 761.60 samples/sec   Loss 9.8600   Epoch: 0   Global Step: 6650   Required: 57 hours
Training: 2021-04-24 23:26:03,599-Speed 761.47 samples/sec   Loss 9.8967   Epoch: 0   Global Step: 6700   Required: 57 hours
Training: 2021-04-24 23:26:37,201-Speed 761.87 samples/sec   Loss 9.8668   Epoch: 0   Global Step: 6750   Required: 57 hours
Training: 2021-04-24 23:27:11,519-Speed 745.99 samples/sec   Loss 9.7614   Epoch: 0   Global Step: 6800   Required: 57 hours
Training: 2021-04-24 23:27:45,470-Speed 754.03 samples/sec   Loss 9.7645   Epoch: 0   Global Step: 6850   Required: 57 hours
Training: 2021-04-24 23:28:19,072-Speed 761.87 samples/sec   Loss 9.7287   Epoch: 0   Global Step: 6900   Required: 57 hours
Training: 2021-04-24 23:28:52,676-Speed 761.82 samples/sec   Loss 9.8367   Epoch: 0   Global Step: 6950   Required: 57 hours
Training: 2021-04-24 23:29:26,280-Speed 761.84 samples/sec   Loss 9.8092   Epoch: 0   Global Step: 7000   Required: 57 hours
Training: 2021-04-24 23:30:00,303-Speed 752.43 samples/sec   Loss 9.8332   Epoch: 0   Global Step: 7050   Required: 57 hours
Training: 2021-04-24 23:30:33,788-Speed 764.54 samples/sec   Loss 9.6754   Epoch: 0   Global Step: 7100   Required: 56 hours
Training: 2021-04-24 23:31:07,116-Speed 768.14 samples/sec   Loss 9.7118   Epoch: 0   Global Step: 7150   Required: 56 hours
Training: 2021-04-24 23:31:40,451-Speed 767.97 samples/sec   Loss 9.5109   Epoch: 0   Global Step: 7200   Required: 56 hours
Training: 2021-04-24 23:32:13,782-Speed 768.06 samples/sec   Loss 9.7030   Epoch: 0   Global Step: 7250   Required: 56 hours
Training: 2021-04-24 23:32:47,100-Speed 768.36 samples/sec   Loss 9.6595   Epoch: 0   Global Step: 7300   Required: 56 hours
Training: 2021-04-24 23:33:20,421-Speed 768.31 samples/sec   Loss 9.6250   Epoch: 0   Global Step: 7350   Required: 56 hours
Training: 2021-04-24 23:33:53,740-Speed 768.35 samples/sec   Loss 9.6426   Epoch: 0   Global Step: 7400   Required: 56 hours
Training: 2021-04-24 23:34:27,074-Speed 767.98 samples/sec   Loss 9.5470   Epoch: 0   Global Step: 7450   Required: 56 hours
Training: 2021-04-24 23:35:00,401-Speed 768.17 samples/sec   Loss 9.5689   Epoch: 0   Global Step: 7500   Required: 56 hours
Training: 2021-04-24 23:35:33,735-Speed 768.00 samples/sec   Loss 9.6635   Epoch: 0   Global Step: 7550   Required: 56 hours
Training: 2021-04-24 23:36:07,416-Speed 760.08 samples/sec   Loss 9.4775   Epoch: 0   Global Step: 7600   Required: 56 hours
Training: 2021-04-24 23:36:41,073-Speed 760.61 samples/sec   Loss 9.5289   Epoch: 0   Global Step: 7650   Required: 56 hours
Training: 2021-04-24 23:37:14,762-Speed 759.92 samples/sec   Loss 9.4156   Epoch: 0   Global Step: 7700   Required: 56 hours
Training: 2021-04-24 23:37:48,084-Speed 768.27 samples/sec   Loss 9.5247   Epoch: 0   Global Step: 7750   Required: 56 hours
Training: 2021-04-24 23:38:21,784-Speed 759.66 samples/sec   Loss 9.4678   Epoch: 0   Global Step: 7800   Required: 56 hours
Training: 2021-04-24 23:38:55,115-Speed 768.06 samples/sec   Loss 9.4427   Epoch: 0   Global Step: 7850   Required: 56 hours
Training: 2021-04-24 23:39:28,433-Speed 768.36 samples/sec   Loss 9.4560   Epoch: 0   Global Step: 7900   Required: 56 hours
Training: 2021-04-24 23:40:01,757-Speed 768.23 samples/sec   Loss 9.5045   Epoch: 0   Global Step: 7950   Required: 56 hours
Training: 2021-04-24 23:40:35,081-Speed 768.21 samples/sec   Loss 9.4278   Epoch: 0   Global Step: 8000   Required: 56 hours
Training: 2021-04-24 23:41:08,407-Speed 768.19 samples/sec   Loss 9.3233   Epoch: 0   Global Step: 8050   Required: 56 hours
Training: 2021-04-24 23:41:41,729-Speed 768.27 samples/sec   Loss 9.3278   Epoch: 0   Global Step: 8100   Required: 56 hours
Training: 2021-04-24 23:42:15,047-Speed 768.38 samples/sec   Loss 9.2814   Epoch: 0   Global Step: 8150   Required: 56 hours
Training: 2021-04-24 23:42:48,374-Speed 768.14 samples/sec   Loss 9.3026   Epoch: 0   Global Step: 8200   Required: 56 hours
Training: 2021-04-24 23:43:21,692-Speed 768.36 samples/sec   Loss 9.3289   Epoch: 0   Global Step: 8250   Required: 56 hours
